0	446	51	2 / 4
0	512	309	1인피자 고피자 강남점
0	562	404	4.8(1,927)
0	676	0	배달 35분
0	676	450	포장 15분
0	769	674	매장∙원산지정보
0	780	69	도착까지 약 35분
0	841	36	최소주문
0	841	153	16,900원
0	896	36	일반회원
0	897	153	0-2,600원 0원
0	898	294	자세히
0	938	36	와우회원
0	938	153	와우회원은 매 주문 배달비 0원
0	1010	127	지금 와우 가입하면 배달비 0원 + 25,000원 쿠폰
0	1027	766	가입하기
0	1118	54	1,000원 즉시할인 자동 적용
0	1196	90	2,000원 쿠폰 추가 적용 가능
0	1286	168	❤️❤️❤️
0	1286	606	Most delicious pizza of my life! Thick, sweet pizza sauce, lots of mozzarella cheese, perfect crust cook level, slight amount of garlic at the edge of the crust adding that extra zing — and the buffalo cheese I ordered was amazing as a topping &#128523; 10/10 will order again! ❤️
0	1455	114	검색한 메뉴
0	1455	290	&#128293; 인기메뉴
0	1455	813	[세트]
0	1556	42	검색한 메뉴
1	0	0	고피자 피치 SET
1	0	0	리뷰 (1)
1	0	0	피자와 치킨의 조합으로 간편하게 즐기기 좋은 구성입니다.
1	66	155	1인피자 고피자 강남점 내 메뉴를 찾아보세요
1	147	0	배달 35분
1	147	450	포장 15분
1	182	51	3 / 4
1	240	674	매장∙원산지정보
1	248	309	1인피자 고피자 강남점
1	251	69	도착까지 약 35분
1	298	404	4.8(1,927)
1	312	36	최소주문
1	312	153	16,900원
1	367	36	일반회원
1	368	153	0-2,600원 0원
1	369	294	자세히
1	409	36	와우회원
1	409	153	와우회원은 매 주문 배달비 0원
1	481	127	지금 와우 가입하면 배달비 0원 + 25,000원 쿠폰
1	498	766	가입하기
1	589	54	1,000원 즉시할인 자동 적용
1	667	90	2,000원 쿠폰 추가 적용 가능
1	757	168	❤️❤️❤️
1	757	606	Most delicious pizza of my life! Thick, sweet pizza sauce, lots of mozzarella cheese, perfect crust cook level, slight amount of garlic at the edge of the crust adding that extra zing — and the buffalo cheese I ordered was amazing as a topping &#128523; 10/10 will order again! ❤️
1	926	114	검색한 메뉴
1	926	290	&#128293; 인기메뉴
1	926	813	[세트]
1	1027	42	검색한 메뉴
1	1073	36	고피자 검색 결과
1	1147	36	고피자 피파 SET
1	1201	36	19,900원
1	1259	36	피자와 파스타의 조합으로 든든하게 즐길 수 있는 구성입니다.
1	1307	63	100% (4개)
1	1307	149	ㆍ
1	1307	193	리뷰 (3)
1	1381	36	고피자 실속 SET
1	1435	36	14,900원
1	1493	36	피자와 사이드, 음료까지 꼭 필요한 메뉴만 담은 실속 구성입니다.
1	1541	63	100% (1개)
1	1541	149	ㆍ
1	1541	193	리뷰 (3)
1	1556	24	배달비 0원 + 3,000원 할인
2	66	155	1인피자 고피자 강남점 내 메뉴를 찾아보세요
2	132	54	1,000원 즉시할인 자동 적용
2	182	51	4 / 4
2	195	90	2,000원 쿠폰 추가 적용 가능
2	248	309	1인피자 고피자 강남점
2	285	168	❤️❤️❤️
2	285	606	Most delicious pizza of my life! Thick, sweet pizza sauce, lots of mozzarella cheese, perfect crust cook level, slight amount of garlic at the edge of the crust adding that extra zing — and the buffalo cheese I ordered was amazing as a topping &#128523; 10/10 will order again! ❤️
2	298	404	4.8(1,927)
2	454	114	검색한 메뉴
2	454	290	&#128293; 인기메뉴
2	454	813	[세트]
2	555	42	검색한 메뉴
2	601	36	고피자 검색 결과
2	675	36	고피자 피파 SET
2	729	36	19,900원
2	787	36	피자와 파스타의 조합으로 든든하게 즐길 수 있는 구성입니다.
2	835	63	100% (4개)
2	835	149	ㆍ
2	835	193	리뷰 (3)
2	909	36	고피자 실속 SET
2	963	36	14,900원
2	1021	36	피자와 사이드, 음료까지 꼭 필요한 메뉴만 담은 실속 구성입니다.
2	1069	63	100% (1개)
2	1069	149	ㆍ
2	1069	193	리뷰 (3)
2	1143	36	고피자 피치 SET
2	1197	36	18,400원
2	1255	36	피자와 치킨의 조합으로 간편하게 즐기기 좋은 구성입니다.
2	1303	63	리뷰 (1)
2	1407	42	인기메뉴
2	1441	121	지금 와우 가입하면 배달비 0원 + 25,000원 쿠폰
2	1458	781	가입하기
2	1485	88	1위
2	1485	304	2위
2	1485	520	3위
2	1485	708	4위
2	1556	24	배달비 0원 + 3,000원 할인
3	0	0	100% (3개)
3	0	0	ㆍ
3	0	0	리뷰 (2)
3	66	155	1인피자 고피자 강남점 내 메뉴를 찾아보세요
3	132	36	고피자 검색 결과
3	151	114	검색한 메뉴
3	151	290	&#128293; 인기메뉴
3	151	813	[세트]
3	182	51	1 / 4
3	185	36	고피자 피파 SET
3	239	36	19,900원
3	248	309	1인피자 고피자 강남점
3	297	36	피자와 파스타의 조합으로 든든하게 즐길 수 있는 구성입니다.
3	298	404	4.8(1,927)
3	345	63	100% (4개)
3	345	149	ㆍ
3	345	193	리뷰 (3)
3	419	36	고피자 실속 SET
3	473	36	14,900원
3	531	36	피자와 사이드, 음료까지 꼭 필요한 메뉴만 담은 실속 구성입니다.
